"Taxa (species, agg, gr, type)",Amphipoda,Corixidae,Trombidiformes (Hydrachnidia),Polypelidium bicrenatum,Procladius spp.,Cryptochironomus spp.,Tanytarsus mendax,Endochironomus albipennis,Kiefferulus tendipiformis,Paratanytarsus spp.,Microtendipes pedellus aggregate,Hirudinae,Coenagrionidae spp.,Dicrotendipes thanatogratus,Chironomus classicaudatus,Cricotopus sylvestris,Cricotopus cylindraceus,Libellulidae spp.,Nematoda,Glyptotendipes0spp.,Chironomus acerbiphilus,Terrestrial beetle,Pseudophyllidea,Oligochaeta,Clam0shrimp,Agabus0spp.,Luridus0aggregate
A-3,19.66666667,90,0,2.666666667,1.333333333,6.333333333,0,0,0.333333333,0,0.333333333,1.333333333,2.666666667,0.333333333,0,0,0,0,0.333333333,0,0,0,0,6,0,3.333333333,0
A-6,14.33333333,12.33333333,1.666666667,6,25.66666667,5.666666667,9,0.333333333,0,0,0,1.666666667,2.333333333,0,0,0,0,0,0,0,0,1.333333333,0,2,0,3,0
A-7,3,194,0,2,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A-37,41,27.33333333,0,0,0,0,1.666666667,1,0,0,17.66666667,0.666666667,83,4,0,0.333333333,0,0,0,0,0,0,0,4.333333333,0,7.666666667,0
A-38,26.33333333,9,0,0.333333333,0,0,1.333333333,0.333333333,0,0,2.666666667,0,47,11,0,0.333333333,0,0,0,0,0.333333333,0,0,2.666666667,0,1.666666667,0
A-47,6.666666667,8.333333333,0,0,0,0.333333333,0,0,0,0,0,0.333333333,2.666666667,3,0,0,0,0,0,0,0,0,0,2.666666667,0,4,0
A-51,23,32.66666667,0,0,0,1.666666667,7,0,1.333333333,5.666666667,2,0,7.333333333,1,0,0,0,1.666666667,0,0,0,0,0,5.333333333,0,15.66666667,0
A-52,65.33333333,33,0,0,0,0,0,0,0,0,66.33333333,0,123.3333333,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0.666666667,0,6.666666667,0
A-53,9,8,0,0,0,0,0,2,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0
A-63,371,43,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0
A-67,4930.333333,21.33333333,0,0,0,0,0,2.333333333,3.666666667,0,33.66666667,5.666666667,1.333333333,1.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0
A-70,95,183,0,0,0,0,0,0,1.333333333,0,0,0,66.66666667,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0.666666667,0,7,0
J-6,14.5,2,1,13,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1.5,0,5.5,0,2,0
J-7,1,5,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,28,0,0,0
J-37,11.66666667,0.333333333,0,0,0,0,0,0.666666667,0,0.333333333,12,1,20,1.333333333,0,0,0,2,1,0,0,1.333333333,0,8,0,5.666666667,0
J38,11,29.33333333,0,0,0,0,0,0,0,0,1,1,26.66666667,2,0,0,0,0,1.666666667,0,1,0,0,1.666666667,0,37.33333333,0
J-47,28.66666667,95,0,0,0,0,0,0.333333333,0,0,0,0,13.33333333,3.333333333,2.333333333,0,0,0.666666667,0,0,0,0,0,2,0,19.66666667,0
J51,8.666666667,45.66666667,0,0,0,0,0,0,0,0,0,0,21,0.666666667,0,0,0,0,0,0,0,0,0,2,0,8,0
J52,20.66666667,1,0,0,0,0,0,0.666666667,0,0,0,0.333333333,44.66666667,20.66666667,1,0,0,0,0,0,0,0,0,1.666666667,0,13,0
J-53,162.3333333,50,0,0,0,0,0,1,0,3,0,0.333333333,0.333333333,3,1.666666667,0.333333333,0,1.333333333,0,0,0,0,0,0,0,1.333333333,0
J-63,4.666666667,1.333333333,0,0,0,0,0.333333333,0,0,1,6,1.666666667,0,0.333333333,28.33333333,3.666666667,0,0.666666667,0,0,2.333333333,0,0,0.333333333,0,1,0
J-67,130,714.3333333,0,0,0,0,0.666666667,0.666666667,0,0.333333333,0,13.33333333,1.666666666,1.666666667,0.333333333,2.333333334,3,0,0,0,0,0,0,79.66666667,0,0,0
J-70,105,100.6666667,0,0,0,0,2,0,0,3.666666667,0,5.333333333,19.66666667,1,14.33333333,0.333333333,0,0,0,0,8.666666667,0,0,1.333333333,0,0.333333333,0
M-3,286.3333333,86.33333333,0,1,0.333333333,0,0,0.666666667,0,0,0,5,2.333333333,1,0,0.333333333,0,0,18.66666667,0,0,0,0,50,0.333333333,0.333333333,0
M-6,13.66666667,0.333333333,7.333333333,54.66666667,3.333333333,2,0,1.333333333,0,2,0,0,6,0,1,1.333333333,0,0,5,0.333333333,0,0,0,16.33333333,0,1,0
M-7,3.666666667,14.33333333,1,18,8,0,0.333333333,3,0,1.333333333,0,0.333333333,14.33333333,0,3.666666667,1.666666667,0,0,7.333333333,0,0.666666667,0,0.333333333,132.6666667,0,0.333333333,0
M-37,78.66666667,5.666666667,0,0.666666667,0,0,0,11.33333333,0,11.33333333,1.333333333,0,112.3333333,0,0,1.333333333,0,0,2,0,0,0,0,23.66666667,9.666666667,0,0
M-38,22,0.333333333,0,0,0,0,0,1.666666667,0,0.666666667,0,0.333333333,18.66666667,37,0,0,0,0,0.333333333,0,0,0,0,6.333333333,0,0.666666666,0
M-47,30.33333333,28.66666667,0.333333333,0,0,0.666666667,0,1,0,0.666666667,1,0,2.666666667,2,0,0.333333333,0,0,1,0,0,0,0,27,0,0.333333333,0
M-51,178,1.333333333,0,0,0,0,0.333333333,1.333333333,0,2,1,0,8.666666667,0,0,2,0,0,0.666666667,1.666666667,0,0,0,28.33333333,0,1.666666667,0
M-52,43.66666667,1.666666667,0.333333333,0.666666667,0,0,0,7.666666667,0,98.33333333,4.666666667,0,36,71,3.666666667,19.66666667,0,0,0,0,2.333333333,0,0,10,0,0.333333333,0
M-53,253.3333333,2.666666667,0.666666667,0,0,0,0.666666667,2.333333333,0,65.66666667,2,0,3.333333333,3,0,0,0,4.333333333,1.333333333,0,1.666666667,0,0,2,0.333333333,4.666666667,3.333333333
M-63,1,0,0,0.666666667,0,0,0,0,0,2,1,0,0,0.333333333,0,0,0,0.666666667,1.666666667,2.333333333,0,0,0,11,0,12.66666667,0
M-67,1065.666667,41.33333333,0,0,0,0,0,0,0,1.333333333,2,0.333333333,1,10.33333333,0,6.666666667,0,0,2,0,0,0,0,5,0,0.333333333,0
M-70,86.66666667,5.333333333,4,0,0,0,0,0.666666667,0,43.66666667,0,3.666666667,10,0,1.333333333,2,0,0,24,0,0.333333333,0,0,20,0.666666667,0.333333333,0
